triple_id,chapter_no,chapter_title,subject,relation,object,source_text
T1458,9,দৃঢ়তা প্রদান ও চলন,সাইনোভিয়াল অস্থিসন্ধি,অংশ,এব�ং অস্থিসন্ধিকে দৃঢ়ভাবে চিত্র ৯.০২: সাইনোভিয়াল সন্ধি আটকে রাখার জন্য অস্থিবন্ধনী বা লিগামেন্ট বেষ্টিত একটি মজবুত আবরণী বা ক্যাপসুল,সাইনোভিয়াল অস্থিসন্ধির অংশগুলো হলো: (5%0০ছা3] 010) এবং অস্থিসন্ধিকে দৃঢ়ভাবে চিত্র ৯.০২: সাইনোভিয়াল সন্ধি আটকে রাখার জন্য অস্থিবন্ধনী বা লিগামেন্ট বেষ্টিত একটি মজবুত আবরণী বা ক্যাপসুল অস্থিসন্ধিতে সাইনোভিয়াল রস এবং তরুণাস্থি থাকাতে অস্থিতে অস্থিতে ঘর্ষণ এবং তজ্জনিত ক্ষয় হাস পায় ও অস্থিসম্ধি নড়াচড়া করাতে কম শত্তি ব্যয় হয়।
T0009,1,জীবন পাঠ,প্রোক্যারিওটা,কারণ,"আদিকোষ (নিউক্লিয়াস সুগঠিত নয়) বিশিষ্ট এককোষী, আণুবীক্ষণিক জীব","করেন। পরবর্তীকালে মারগুলিস (43180115) 1974 সালে 11008811-এর শ্রেণিবিন্যাসের পরিবর্তিত ও বিস্তারিত রূপ দেন। তিনি সমস্ত জীবজগৎকে দুটি সুপার কিংডমে ভাগ করেন এবং পাঁচটি রাজ্যকে এই দুটি সুপার কিংডমের আওতাভুক্ত করেন। (৪) সুপার কিংডম 1 প্রোক্যারিওটা (21:0131%0063): এরা আদিকোষ (নিউক্লিয়াস সুগঠিত নয়) বিশিষ্ট এককোষী, আণুবীক্ষণিক জীব।"
T2209,14,জীবপ্রযুক্তি,মেরিস্টেম,কাজ,বিভিন্ন ধরনের অঙ্গ বা টিস্যু তৈরি করা,"ফরাসি বিজ্ঞানী ০০০৪০ 14০16] (1964) প্রমাণ করে দেখান যে সিম্বিডিয়াম (ড্র0৮101107) নামক অর্কিড প্রজাতির একটি মেরিস্টেম থেকে এক বছরে প্রায় 40 হাজার চারা পাওয়া সম্ভব৷ উল্লেখ্য, সাধারণ নিয়মে একটি সিম্বিডিয়াম উদ্ভিদ থেকে বছরে মাত্র অল্প কয়েকটি চারা উৎপন্ন হয়। থাইল্যান্ড টিস্যু কালচার পদ্ধতির মাধ্যমে এক বছরে 50 মিলিয়ন অণুচারা উৎপন্ন করে, যার অধিকাংশই অর্কিড । এই ফুল রপ্তানি করে থাইল্যান্ড, সিঙ্গাপুর, মালয়েশিয়া প্রভৃতি দেশ প্রতিবছর কোটি কোটি টাকার বৈদেশিক মুদ্রা অর্জন করে। 1952 সালে মার্টিন নামক বিজ্ঞানী মেরিস্টেম কালচারের মাধ্যমে রোগমুত্ত ডালিয়া ও আলুগাছ উদ্ভাবন করেন। মেরিস্টেম হলো উদ্ভিদে"
T1803,10,সমন্বয়,প্যারালাইসিস,কারণ,স্ট্রোক,"কারণ: প্যারালাইসিস সাধারণত স্ট্রোকের কারণে হয়। এছাড়া মেরুদণ্ডের বা ঘাড়ের সুষুম্নাকাণ্ড আঘাত বা দুর্ঘটনাজনিত কারণে প্যারালাইসিস হতে পারে। য্নায়ু রোগ, সুযুনম্নাকাণ্ডের কিংবা কশেরুকার ক্ষয় রোগও প্যারালাইসিসের কারণ হতে পারে।"
T0927,5,"খাদ্য, পুষ্টি ও পরিপাক",খাদ্য সংরক্ষণ,কাজ,খাদ্যের পচন রোধ করে,"৫.৭ খাদ্যদ্রব্য সংরক্ষণে রাসায়নিক পদার্থের ব্যবহার খাদ্য সংরক্ষণ এমন একটি প্রক্রিয়া, যেটি খাদ্যের পচন রোধ করে, যার ফলে খাদ্যের গুণাগুণ, গ্রহণযোগ্যতা এবং খাদ্যমান অটুট থাকে৷ খাদ্য সংরক্ষণের মাধ্যমে সাধারণত পচনসৃষ্টিকারী ব্যাকটেরিয়া ও ছত্রাকের সংক্রমণ এবং খাদ্যের চর্বিজাতীয় অংশের জারণ বন্ধ করা হয়।"
T0621,5,"খাদ্য, পুষ্টি ও পরিপাক",আ্যামাইনো এসিড,কারণ,আ্যামাইনো এসিড যকৃতে আসার পর,"গ্লাইকোজেনরূপে সঞ্চয় করে রাখে ৷ পিত্তরস খাদ্যের অন্নভাব প্রশমিত করে এবং ক্ষারীয় পরিবেশ সৃষ্টি করে। এই পরিবেশ খাদ্য পরিপাকের অনুকূল । কেননা আম্লিক পরিবেশে খাদ্য পরিপাক হয় না। পিত্তরস চর্বিজাতীয় খাদ্যকে ক্ষুদ্র দানায় পরিণত করে, যা লাইপেজ সহযোগে পরিপাকে সহায়তা করে৷ অতিরিক্ত আ্যামাইনো এসিড যকৃতে আসার পর বিভিন্ন রাসায়নিক ক্রিয়ার মাধ্যমে ইউরিয়া, ইউরিক এসিড ও আ্যামোনিয়ারূপে নাইট্রোজেনঘটিত বর্জ্য পদার্থ তৈরি করে এবং ম্নেহজাতীয় পদার্থ শোষণে সাহায্য করে। রক্তে কখনো গুঁকোজের মাত্রা কমে গেলে যকৃতের সঞ্চিত গ্লাইকোজেনের কিছুটা অংশ গনলুকোজে পরিণত হয় এবং রন্তস্রোতে মিশে যায়। এভাবে রক্তে গ্লুকোজের"
T0376,2,জীবকোষ ও টিস্যু,স্নায়ুটিস্যু,কাজ,দেহের বিভিন্ন অঙ্গের কাজ নিয়ন্ত্রণ এবং তাদের মধ্যে সমন্বয় সাধন,"ক্ষুদ্র ক্ষুদ্র প্রলম্বিত অংশকে ডেনড্রন বলে। ডেনড্রন থেকে যে শাখা বের হয়, তাদের ডেনড্রাইট বলে। ডেনড্রাইটের সংখ্যা এক বাএকাধিক হতে পারে৷ নিউরনের কোষদেহ থেকে একটি লম্বা স্নায়ুতন্তু পরবর্তী নিউরনের ডেনড্রাইটের সাথে যুক্ত থাকে, তাকে আ্যাক্সন বলে। একটি নিউরনের একটি মাত্র আ্যাক্সন থাকে৷ পরপর দুটি নিউরনে প্রথমটির আযাক্সন এবং পরেরটির ডেনড্রাইটের মধ্যে একটি য়নায়ুসন্ধি গঠিত হয়, তাকে সিন্যাপস ($দ118056) বলে। সিন্যাপসের মধ্য দিয়েই একটি নিউরন থেকে উদ্দীপনা পরবর্তী নিউরনে পরিবাহিত হয়। স্নায়ুটিস্যু উদ্দীপনা গ্রহণ করে মস্তিষ্কে প্রেরণ করে এবং মস্তিষ্ক তাতে সাড়া দেয়। উচ্চতর প্রাণীতে য্নায়ুটিস্যু স্ম"
T0799,5,"খাদ্য, পুষ্টি ও পরিপাক",পটাশিয়ামের অভাব,লক্ষণ,পাতার কিনারায় পুড়ে যাওয়া সদৃশ বাদামি রং দেখা যায় এবং পাতা কুঁকড়ে আসে,"পটাশিয়াম (0: পটাশিয়ামের অভাবে পাতার শীর্ষ এবং কিনারা হলুদ হয় এবং মৃত অঞ্চল সৃষ্টি হয়। বিশেষ করে পাতার শিরার মধ্যবর্তী স্থানে ক্লোরোসিস হয়ে হলুদবর্ণ ধারণ করে। পাতার কিনারায় পুড়ে যাওয়া সদৃশ বাদামি রং দেখা যায় এবং পাতা কুঁকড়ে আসে । উদ্ভিদের বৃদ্ধি কম হয় এবং শীর্ষ ও পার্শ্ব মুকুল মরে যায়। খাদ্য, পুষ্টি এবং পরিপাক"
T1642,10,সমন্বয়,সেরিব্রাম,অংশ,গুরুমস্তিষ্ক,"মস্তিষ্কের মধ্যে অগ্রমস্তিষ্ক বা সেরিব্রাম সবচেয়ে বড় অংশ। সেরিব্রামকে গুরুমস্তিষ্কও বলা হয়ে থাকে। সেরিব্রামের ডান ও বাম অংশ দুটি সম্পূর্ণভাবে বিভ্ক্ত। দুটি অংশের মাঝখানে বিভেদক খাঁজ থাকায় এ বিভক্তি ঘটে । এদের সেরিব্রাল হেমিস্ফিয়ার (০1৮13] 11610151616) বলা হয়। সেরিব্রামের ডান ও বাম হেমিস্ফিয়ারের মধ্যে খাঁজ থাকলেও এ দুটি অংশ একগুচ্ছ নিউরন দিয়ে সংযুক্ত থাকে, যার নাম কর্পাস ক্যালোসাম। বাম সেরিব্রাল হেমিস্ফিয়ার দেহের ডান অংশ এবং ডান সেরিব্রাল হেমিস্ফিয়ার দেহের বাম"
T1331,7,গ্যাসীয় বিনিময়,লক্ষণ,প্রকার,দীর্ঘদিন ধরে খুসখুসে কাশি ও বুকে ব্যথা,"লক্ষণ: ফুসফুস ক্যান্সারের প্রাথমিক লক্ষণগুলো যত দ্রুততার সাথে নির্ণয় করা যায় এবং চিকিৎসা প্রদান করা যায়, তত বেশি দিন বেঁচে থাকার সম্ভাবনা বৃদ্ধি পায়। প্রাথমিক অবস্থায় যেসব লক্ষণ প্রকাশ পায় সেগুলো হলো: * দীর্ঘদিন ধরে খুসখুসে কাশি ও বুকে ব্যথা। * ভরগ্নস্বর, ওজন হাস এবং স্কুধামান্দ্য। * হাঁপানি, ঘনঘন জ্বর হওয়া। * বারবার ব্রংকাইটিস বা নিউমোনিয়ায় সংক্রমিত হওয়া ।"
T1325,7,গ্যাসীয় বিনিময়,ডাক্তারের পরামর্শ,প্রতিরোধ,চিকিৎসা করা,"লক্ষণ রোগীর ওজন কমতে থাকে, আস্তে আস্তে শরীর দুর্বল হতে থাকে। সাধারণত তিন সপ্তাহের বেশি সময় কাশি থাকে। খুসখুসে কাশি হয় এবং কখনো কখনো কাশির সাথে রক্ত যায়। রাতে ঘাম হয়, বিকেলের দিকে জ্বর আসে দেহের তাপমাত্রা খুব বেশি বাড়ে না। বুকে পিঠে ব্যথা হয়। অজীর্ণ ও পেটের পীড়া দেখা দেয়। প্রতিকার ডাক্তারের পরামর্শ অনুযায়ী চিকিৎসা করা৷"
T1208,7,গ্যাসীয় বিনিময়,ঘোমটা,কাজ,জিহ্বা ঢাকনা,এটা গলবিলের নিচে এবং শ্বাসনালির উপরে অবস্থিত ৷ স্বরযন্দ্রের দুই ধারে দুটি পেশি থাকে৷ এগুলোকে ঘ০০৪] ০০10 বলে। স্বরযন্ত্রের উপরে একটি জিহ্বা আকৃতির ঢাকনা রয়েছে। একে উপজিহ্বা (চ1510605) বলে। শ্বাস-প্রশ্বাস নেওয়ার সময় এটি খোলা থাকে এবং এ পথে বাতাস ফুসফুসে চিত্র ৭.০৩: নাসাপথ ও গলবিল খাদ্যনালিতে প্রবেশ করে। শ্বাস-প্রশ্বাসে এর কোনো ভূমিকা নেই৷
T0942,6,জীবে পরিবহন,কোলেস্টেরল হাইড্রোকার্বন কোলেস্টেইন,অংশ,কোলেস্টেরল লিপোপ্রোটিন,কোলেস্টেরল হাইড্রোকার্বন কোলেস্টেইন (00016509116) থেকে উৎপন্ন একটি যৌগ। উচ্চশ্রেণির প্রাণিজ কোষের এটি একটি গুরুত্বপূর্ণ উপাদান । কোলেস্টেরল লিপোপ্রোটিন নামক যৌগ সৃষ্টির মাধ্যমে রক্তে প্রবাহিত হয়। রক্তে তিন ধরনের লিপোপ্রোটিন দেখা যায়। এটি হৃদরোগের ঝুঁকি বাড়ায়। সাধারণত আমাদের রক্তে 70% 1:11. থাকে । ব্যক্তিবিশেষে এই পরিমাপের পার্থক্য দেখা যায়।
T1903,11,জীবের প্রজনন,খণ্ডায়ন,প্রকার,অযৌন প্রজনন,"অযৌন প্রজনন: নিম্নশ্রেণির প্রাণীতে অযৌন প্রজনন ঘটে। মুকুলোদগম (৪001115), বিভাজন, খণ্ডায়ন ইত্যাদি বিভিন্ন পদ্ধতিতে অযৌন প্রজনন হয়। যৌন প্রজনন: যে প্রক্রিয়ায় দুইটি বিপরীত লিঙ্গের প্রাণী পুং ও স্ত্রীজনন কোষ বা গ্যামেট (681606) উৎপন্ন করে এবং তাদের নিষেকের মাধ্যমে প্রজনন ঘটায় ও সন্তান-সন্ততি উৎপন্ন করে, তাকে যৌন প্রজনন বলে।"
T1091,6,জীবে পরিবহন,গ্রানূলোসাইট,কাজ,নিউট্রোফিল ফ্যাগোসাইটোসিস প্রক্রিয়ায় জীবাণু ভক্ষণ করে,"(খ) গ্রানূলোসাইট :এদের সাইটোগ্লাজম সূক্ষ্ম দানাযুক্ত। গ্রানূুলোসাইট শ্বেত রন্তকোষগুলো নিউক্লিয়াসের আকৃতির ভিত্তিতে তিন প্রকার যথা: নিউট্রোফিল, ইওসিনোফিল এবং বেসোফিল। নিউট্রোফিল ফ্যাগোসাইটোসিস প্রক্রিয়ায় জীবাণু ভক্ষণ করে। ইওসিনোফিল ও বেসোফিল হিস্টামিন নামক রাসায়নিক পদার্থ নিঃসৃত করে দেহে এলার্জি প্রতিরোধ করে। বেসোফিল হেপারিন নিঃসৃত করে রক্তকে রন্তবাহিকার ভিতরে জমাট বাঁধতে বাধা দেয়।"
T1194,7,গ্যাসীয় বিনিময়,নাসিকা,কাজ,বাতাসকে ফুসফুসের গ্রহণের উপযোগী করা,"(9৪) নাসারন্ধ ও নাসাপথ (4393] ০৪ডা্া 31700 শ্বসনতন্ত্রের প্রথম অংশের নাম নাসিকা বা নাক। এটা মুখগহ্বরের উপরে অবস্থিত একটি ত্রিকোণাকার গহ্বর। নাক বা নাসিকার সাহায্যে কোনো বস্তুর সুগন্ধ বা দুর্গন্ধ বুঝা যায়। এক বিশেষ ধরনের স্নায়ু এই অঙ্গকে উদ্দীপিত করে, ফলে আমরা গন্ধ পাই। নাসিকা এমনভাবে বিবর্তিত হয়েছে যে সেটি প্রশ্বাসের সময় বাতাসকে ফুসফুসের গ্রহণের উপযোগী করে দেয়।"
T0641,5,"খাদ্য, পুষ্টি ও পরিপাক",স্ষুদ্রান্তের প্রাচীরে,কারণ,আন্তরিক রস নামে পরিচিত,"গ্যাস্ট্রিকগ্রন্থি পাকস্থলীর প্রাচীরে থাকে৷ এ গ্রন্থি থেকে নিঃসৃত রস (ট্রিপসিন, লাইপেজ, আ্যামাইলেজ) গ্যাস্ট্রিক রস বা পাচক রস নামে পরিচিত। স্ষুদ্রান্তের প্রাচীরে ভিলাইয়ে আন্দ্রিকগ্রন্থি থাকে । এ গ্রন্থি থেকে নিঃসৃত রসের নাম আন্তরিক রস। ৫.৮.৩ খাদ্য পরিপাক ক্রিয়া (01565001৷ ০£ চ০০0৭)"
T1332,7,গ্যাসীয় বিনিময়,লক্ষণ,প্রকার,ভরগ্নস্বর,"লক্ষণ: ফুসফুস ক্যান্সারের প্রাথমিক লক্ষণগুলো যত দ্রুততার সাথে নির্ণয় করা যায় এবং চিকিৎসা প্রদান করা যায়, তত বেশি দিন বেঁচে থাকার সম্ভাবনা বৃদ্ধি পায়। প্রাথমিক অবস্থায় যেসব লক্ষণ প্রকাশ পায় সেগুলো হলো: * দীর্ঘদিন ধরে খুসখুসে কাশি ও বুকে ব্যথা। * ভরগ্নস্বর, ওজন হাস এবং স্কুধামান্দ্য। * হাঁপানি, ঘনঘন জ্বর হওয়া। * বারবার ব্রংকাইটিস বা নিউমোনিয়ায় সংক্রমিত হওয়া ।"
T0678,5,"খাদ্য, পুষ্টি ও পরিপাক",লসিকা,কাজ,খাদ্য উপাদান সরবরাহ করে কোষে পৌঁছে দেয় এবং দূষিত পদার্থ সংগ্রহ করে রন্তস্রোতে ফিরে আসে,কৈশিক নালির মধ্যে রপ্ত প্রবাহিত হওয়ার সময় নালির প্রাচীর ছুঁয়ে জলীয় পদার্থ বের হয়। এই জলীয় পদার্থকে লসিকা বলে ৷ লসিকা খাদ্য উপাদান সরবরাহ করে কোষে পৌঁছে দেয় এবং দূষিত পদার্থ সংগ্রহ করে রন্তস্রোতে ফিরে আসে। শোষণের পর পাকমণ্ডের অবশিষ্টাংশ কোলনে পৌঁছে। (0) বৃহদন্ত্রে পরিপাক
T0875,5,"খাদ্য, পুষ্টি ও পরিপাক",খাদ্যের তালিকা,অবস্থান,অন্তর্ভুন্ত,"ছয় উপাদানবিশিষ্ট খাদ্য অন্তর্ভুন্ত করে সুষম খাদ্যের তালিকা বা মেনু পরিকল্পনা করা একটা গুরুত্বপূর্ণ বিষয়। দেহের চাহিদা, খাদ্যের সহজলভ্যতা এবং পারিবারিক আয়, এ তিনটি বিষয় বিবেচনা করে খাদ্য উপাদান বাছাই বা মেনু পরিকল্পনা করলে তা বাস্তবমুখী হয়। কম দামি খাবার দিয়ে সমান পুষ্টিমানের মেনু পরিকল্পনা করা যায়; তাই সমমানের উপাদান-সংবলিত বেশি দামের খাদ্যের পরিবর্তে কম দামি খাদ্য নির্বাচন করে সুষম খাদ্য গ্রহণের মানসিকতা থাকা ভালো।"
T2187,13,জীবের পরিবেশ,কোকিল,কাজ,বাসা তৈরি করা,(0) শোষণ (6২010169001): এ ক্ষেত্রে একটি জীব অন্য জীবকে প্রত্যক্ষ বা পরোক্ষভাবে তার অধিকার থেকে বঞ্চিত করে নিজের অধিকার ভোগ করে। যেমন: স্বর্ণলতা। স্বর্ণলতা হস্টোরিয়া নামক চোষক অঙ্গের মাধ্যমে আশ্রয়দাতা উদ্ভিদ থেকে তার খাদ্য সংগ্রহ করে। কোকিল কখনো পরিশ্রম করে বাসা তৈরি করে না। কাকের বাসায় সে ডিম পাড়ে এবং কাকের দ্বারাই তার ডিম ফোটায়।
T1784,10,সমন্বয়,রোগ,কারণ,ছোট-বড় সব বয়সে হতে পারার ধারণা,"পূর্বে ধারণা করা হতো কেবল বয়স্কদের এ রোগটি হয়। এ ধারণাটি সঠিক নয়। ছোট-বড় সব বয়সে এ রোগ হতে পারে। তবে যারা কায়িক পরিশ্রম করেন না, দিনের বেশির ভাগ সময় বসে কাজ করেন অথবা অলস জীবন যাপন করেন, তাদের ডায়াবেটিস হওয়ার আশঙ্কা বেশি থাকে৷ তাছাড়া স্থূলকায় ব্যক্তিদের এ রোগ হওয়ার আশঙ্কা বেশি৷ যেহেতু এ রোগ বংশগত, তাই কোনো ব্যক্তির বাবা, মা, দাদা, দাদির এ রোগ থাকলে তার এ রোগ হওয়ার আশঙ্কা খুবই বেশি। বংশগতভাবে অনেক শিশুর দেহে ইনসুলিন উৎপাদন কম হয়, ফলে শিশুটি ইনসুলিন ঘাটতিজনিত অসুস্থতায় ভুগতে থাকে৷"
T1766,10,সমন্বয়,ফ্লোরিজেন,কাজ,পাতায় উৎপন্ন হয় এবং তা পত্রমূলে স্থানান্তরিত হয়ে পত্রমুকুলকে পুষ্পমুকুলে রূপান্তরিত করে,"উল্লিখিত এসব হরমোন ছাড়াও উদ্ভিদে আরও কিছু হরমোন রয়েছে, যাদের আলাদা করা বা শনাক্ত করা যায়নি। এদের পসটুলেটেড হরমোন (20500198090 17011101165) বলে। এরা প্রধানত উদ্ভিদের ফুল ও জনন সংশ্লিষ্ট অঙ্গের বিকাশে সাহায্য করে। এদের মধ্যে ফ্লোরিজেন (৮1011561)) এবং ভার্নালিন (ঘ91081110) প্রধান । ধারণা করা হয়, ফ্লোরিজেন পাতায় উৎপন্ন হয় এবং তা পত্রমূলে স্থানান্তরিত হয়ে পত্রমুকুলকে পুষ্পমুকুলে রূপান্তরিত করে। তাই দেখা যায়, ফ্লোরিজেন উদ্ভিদে ফুল ফোটাতে সাহায্য করে। নিচে প্রধান ফাইটোহরমোনগুলো সম্পর্কে সংক্ষিপ্ত আলোচনা করা হলো।"
T0563,5,"খাদ্য, পুষ্টি ও পরিপাক",ছেদন দাঁত,কাজ,খাবার ছেঁড়া,"(0) ছেদন দাঁত (10106): এই দাঁত দিয়ে খাবার ছেঁড়া হয়। যা) অগ্রপেষণ দাঁত (019110191): এই দাঁত দিয়ে চর্বণ, পেষণ উভয় কাজ করা হয়। (17) পেষণ দাঁত (40181): এই দাঁত খাদ্যবস্তু চর্বণ ও পেষণে ব্যবহৃত হয়। চিত্র ৫.০৮: বিভিন্ন ধরনের দাঁত, উপরের পাটি (বামে) এবং নিচের পাটি (ডানে)"
T0280,2,জীবকোষ ও টিস্যু,কোষ,অবস্থান,কোনো বিশেষ কাজে নিয়োজিত,"বহুকোষী প্রাণিদেহে অনেক কোষ একত্রে কোনো বিশেষ কাজে নিয়োজিত থাকে। একই ভ্রণীয় কোষ থেকে উৎপন্ন হয়ে এক বা একাধিক ধরনের কিছুসংখ্যক কোষ জীবদেহের কোনো নির্দি্ট স্থানে অবস্থান করে সমন্টিগতভাবে একটা কাজে নিয়োজিত থাকলে এঁ কোষগুলো সমন্টিগতভাবে টিস্যু (7155৮6) বা তল্ত্র তৈরি করে। একটি টিস্যুর কোষগুলোর উৎপত্তি, কাজ এবং গঠন একই ধরনের হয় টিস্যু নিয়ে আলোচনাকে টিস্যুতত্ত্ব (015001057) বলে । কোষ এবং টিস্যুর মধ্যে পার্থক্য খুবই নির্দি্ট। কোষ হচ্ছে টিস্যুর গঠনগত ও কার্যকরী একক, যেমন লোহিত রক্তকণিকা, শ্বেত রক্তকণিকা এবং অণুচক্রিকা বিভিন্ন ধরনের রক্তকোষ। আবার এরা একত্রে তরল যোজক টিস্যু নামে এক ধরনের টিস্যু হি"
T1931,11,জীবের প্রজনন,মেয়েরা,অবস্থান,বয়ঃসন্ধিকালের 1-2 বছর পর,"রক্তসাব হয়। একে মাসিক বা খতুস্রাব বলে। বয়ঃসন্ধিকালের 1-2 বছর পর মেয়েরা প্রজনন ক্ষমতা লাভ করে। সাধারণত 40-50 বছর বয়স পর্যন্ত মেয়েদের খতুম্রাব চক্র চলতে থাকে । এরপর খতুন্রাব চিরদিনের জন্য বন্ধ হয়ে যায়। একে মেনোপজ (491100856) বা রজনিবৃত্তিকাল বলে। এখানে উল্লেখযোগ্য যে বিষয়টি মনে রাখা দরকার, গর্ভাবস্থায় মেয়েদের রক্তস্রাব সাময়িক বন্ধ থাকে। সন্তান প্রসবের প্রায় দেড় মাস পর আবার স্বাভাবিক রক্তস্রাব শুরু হয়।"
T0046,1,জীবন পাঠ,বৈজ্ঞানিক নাম,কারণ,অনন্য,"(৮) বৈজ্ঞানিক নামের দুটি অংশ থাকবে, প্রথম অংশটি গণ নাম এবং দ্বিতীয় অংশটি প্রজাতি নাম। যেমন: 18860 70100 এটি রুই মাছের বৈজ্ঞানিক নাম, এখানে 18860 গণ এবং 701 প্রজাতিক পদ। (0 জীবজগতের প্রতিটি বৈজ্ঞানিক নামকে অনন্য (৮1186) হতে হয়। কারণ, একই নাম দুটি পৃথক (0) বৈজ্ঞানিক নামের প্রথম অংশের প্রথম অক্ষর বড় অক্ষর হবে, বাকি অক্ষরগুলো ছোট অক্ষর জীবনপাঠ"
T1683,10,সমন্বয়,মেরুরজ্জু,অংশ,২১৫ থেকে 31 জোড়া মেরুরজ্জীয় য্নায়ু,"মেরুরজ্জুতে শ্বেত পদার্থ এবং ধূসর পদার্থ থাকে । তবে এদের অবস্থান মস্তিষ্কের ঠিক উল্টো । অর্থাৎ শ্বেত পদার্থ থাকে বাইরে আর ভিতরে থাকে ধূসর পদার্থ । দুই কশেরুকার মধ্যবর্তী ছিদ্র দিয়ে মেরুরজ্জু সমধ্বয় ২১৫ থেকে 31 জোড়া মেরুরজ্জীয় য্নায়ু (51131 1161%65) বের হয়। এসব ঘাড়, গলা, বুক, পিঠ, হাত ও"
T0694,5,"খাদ্য, পুষ্টি ও পরিপাক",আল্লিক,কারণ,বদহজম,"৫.৯ আস্দ্রিক সমস্যা আল্লিক সমস্যার কারণে কখনো কখনো নিম্নলিখিত রোগ বা শারীরিক অসুবিধা দেখা দেয়। যেমন: একে আমরা বদহজমও বলে থাকি। নানা কারণে বদহজম হয় বা হজমে ব্যাঘাত ঘটে। যেমন: পাকস্থলীতে সংক্রমণ, বিষণ্নতা, অগ্ম্যাশয় রোগ, থাইরয়েডের সমস্যা ইত্যাদি।"
T0368,2,জীবকোষ ও টিস্যু,ডেনড্রন,অংশ,প্রলম্বিত অংশ,"ক্ষুদ্র ক্ষুদ্র প্রলম্বিত অংশকে ডেনড্রন বলে। ডেনড্রন থেকে যে শাখা বের হয়, তাদের ডেনড্রাইট বলে। ডেনড্রাইটের সংখ্যা এক বাএকাধিক হতে পারে৷ নিউরনের কোষদেহ থেকে একটি লম্বা স্নায়ুতন্তু পরবর্তী নিউরনের ডেনড্রাইটের সাথে যুক্ত থাকে, তাকে আ্যাক্সন বলে। একটি নিউরনের একটি মাত্র আ্যাক্সন থাকে৷ পরপর দুটি নিউরনে প্রথমটির আযাক্সন এবং পরেরটির ডেনড্রাইটের মধ্যে একটি য়নায়ুসন্ধি গঠিত হয়, তাকে সিন্যাপস ($দ118056) বলে। সিন্যাপসের মধ্য দিয়েই একটি নিউরন থেকে উদ্দীপনা পরবর্তী নিউরনে পরিবাহিত হয়। স্নায়ুটিস্যু উদ্দীপনা গ্রহণ করে মস্তিষ্কে প্রেরণ করে এবং মস্তিষ্ক তাতে সাড়া দেয়। উচ্চতর প্রাণীতে য্নায়ুটিস্যু স্ম"
T1786,10,সমন্বয়,রোগ,কারণ,স্থূলকায় ব্যক্তিদের আশঙ্কা বেশি,"পূর্বে ধারণা করা হতো কেবল বয়স্কদের এ রোগটি হয়। এ ধারণাটি সঠিক নয়। ছোট-বড় সব বয়সে এ রোগ হতে পারে। তবে যারা কায়িক পরিশ্রম করেন না, দিনের বেশির ভাগ সময় বসে কাজ করেন অথবা অলস জীবন যাপন করেন, তাদের ডায়াবেটিস হওয়ার আশঙ্কা বেশি থাকে৷ তাছাড়া স্থূলকায় ব্যক্তিদের এ রোগ হওয়ার আশঙ্কা বেশি৷ যেহেতু এ রোগ বংশগত, তাই কোনো ব্যক্তির বাবা, মা, দাদা, দাদির এ রোগ থাকলে তার এ রোগ হওয়ার আশঙ্কা খুবই বেশি। বংশগতভাবে অনেক শিশুর দেহে ইনসুলিন উৎপাদন কম হয়, ফলে শিশুটি ইনসুলিন ঘাটতিজনিত অসুস্থতায় ভুগতে থাকে৷"
T1883,11,জীবের প্রজনন,দুই মেরু,কারণ,গর্ভযন্ম,এর পরবর্তী ধাপে দুই মেরু থেকে একটি করে নিউক্লিয়াস ভ্রণথলির কেন্দ্রস্থলে এসে পরস্পরের সাথে মিলিত হয়ে ডিপ্লয়েড (21) গৌণ নিউক্লিয়াস ($৩০০০1৭031% 17001605) সৃষ্টি করে। দুই মেরুর গর্ভযন্ম (855 3813605) বলে। এর মাঝের কোষটি বড়। একে ডিম্বাণু (৮55) এবং অন্য কোষকে সহকারী কোষ (57918105) বলা হয়। গর্ভযন্দ্রের বিপরীত দিকের কোষ তিনটিকে প্রতিপাদ কোষ (4000031] ০০]]5) বলে। এভাবেই ভ্ণথলির গঠন প্রক্রিয়া শেষ হয়।
T0194,2,জীবকোষ ও টিস্যু,নিউক্লিয়াস,কাজ,বিপাকীয় কার্যাবলি নিয়ন্ত্রণ,"চিত্র ২১১০: নিউক্লিয়াস রক্তকোষে নিউক্লিয়াস থাকে না। নিউক্লিয়াসে বংশগতির বৈশিষ্ট্য নিহিত থাকে। এটি কোষে সংঘটিত বিপাকীয় কার্যাবলিসহ সব ক্রিয়া-বিক্রিয়া নিয়ন্ত্রণ করে। সুগঠিত নিউক্লিয়াসে নিচের অংশগুলো দেখা যায়। নিউক্লিয়াসকে ঘিরে রাখে যে বিল্লি, তাকে নিউক্লিয়ার ঝিল্লি বা কেন্দ্রিকা ঝিল্লি বলে। এটি দুই স্তর বিশিষ্ট । এই ঝিল্লি লিপিড ও প্রোটিনের সমন্বয়ে তৈরি হয়। এই বঝিল্লিতে মাঝে মাঝে কিছু ছিদ্র থাকে, যেগুলোকে নিউক্লিয়ার রন্ধ বলে। এই ছিদ্রের ভেতর দিয়ে নিউক্লিয়াস এবং সাইটোগপ্লাজমের মধ্যে কিছু বস্তু চলাচল করে। নিউক্লিয়ার ঝিল্লি সাইটোগ্লাজম থেকে নিউক্লিয়াসের অন্যান্য বস্তুকে পৃথক রাখে "
